"RelativePath","Size","LastWrite","Hash"
"allfiles.bat","6","04/01/2026 22:58:37","14FAAD733310F2FF633101255924B310D089BFC137EBF4FB552D46D4CD1AF350"
"allfilesextension.bat","811","06/01/2026 19:32:35","597912A6BBB129A8430605D72D8DDF0916CF9A5F2CA24B5BF74562B95F34F8F4"
"compararListas.bat","1309","23/02/2026 16:13:58","1D519214EB58300D8BD76C774F59E339D3B6E3A592F43368A9F4120FDDB33556"
"countallfiles.bat","25","04/01/2026 23:10:49","3A146499ABA513249B3B20CFAD5E7AA4A08346684D542C447ED53134D1C10249"
"countfiles.bat","948","04/01/2026 22:31:07","D4B9B0A6194EE02EC577BD89746EB7FC80E0225B974022B7FEFB366D5E6273B0"
"filesextension.bat","326","06/01/2026 19:30:38","1C24CCCDDCDE448D31D7AF09793E149CE9B8DC07C5069D2BBBF810F169CD9A1F"
"findfile.bat","16","09/01/2026 01:45:43","59C2B851ECCB575E0AB4E2E66FD1F9A3521AFBD8326151FBFF6FFA97DEF43962"
"findstrexample.bat","61","06/01/2026 19:40:35","8D4A49256320331E3D7DE2E6CF68B17DE2C6F2CBDCBF9AB691895BD7F72D81F7"
"helloworld.bat","18","04/01/2026 02:24:34","763A2ACC91AD3C2C9430C95210810C356D0EE57769B59A69B67243D207A53049"
"juntartxt.bat","92","21/02/2026 20:26:47","8B1BFDD95738DC5F58BA714CA9EAA68E05A9BB496F8AB60F30F26C1FB909F319"
"listalldifferences.bat","0","09/01/2026 12:57:17","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"listarPastas.bat","641","19/02/2026 15:42:21","C4BB393872817D119A452239374A6513F23F3A2768A4B74D059D9642CC8B2FBB"
"listdifferences.bat","688","09/01/2026 12:56:10","4A68DD0F9DA064A3B32A71F2C565D2C034F6B83BC1968B4D53574A2E46FBD609"
"listfiles.bat","34","04/01/2026 02:28:38","A029EFE5367C79B076161FE58F7A427C08E844BC992EACDCBEB46F912C4DD908"
"print_args.bat","66","09/01/2026 12:43:12","C4BB7B572DC14575B97270CFA8B2D986D5ED7BC70F52BAD434C2D5405E87BDE5"
"readme.md","1686","23/01/2026 17:57:43","1DFBBEF99B798E35FCAC5242549FA53BBC1A04CBBA6D21B0279CB54E1B2DEA72"
"removerepeatedlines.bat","90","06/01/2026 19:36:55","A261AF87E4D111C0ECBE1621FEB4B06DAA8C10B83EF211CC01A27A077AB90C4C"
"samefile.bat","252","06/01/2026 02:00:59","F5465A8E74AB8CE1BA6B0B1C400AC36EF7681425272B90739415741F7B0EBDEE"
"samename.bat","542","06/01/2026 01:52:47","FBDC4080E5BFD9CCB114AB7613E35AF0828DA8B1352008894D3F0B53C8396CC8"
"twodirectories.bat","442","09/01/2026 12:55:36","9585634A915E0B215DB54EF2616DAD1A083C9F413B2A1371E24E0ED2C4173E94"
"twodirectorycomp.bat","2","09/01/2026 01:24:16","7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6"
"verificaApenasNomes.bat","545","14/02/2026 23:14:05","F9E6442134D0D4438B4D79DEB5E8678A0B8CFF7D1C29D0B646BE7C87E1EA5D35"
"consertar-path\changepath.bat","0","23/01/2026 17:57:56","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"consertar-path\setpath.bat","0","23/01/2026 17:57:10","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"consertar-path\showpath.bat","11","23/01/2026 17:46:15","7DEDF15037F6D2DC79B46AC78125957FE384362ADA491EFB7F564D31BF84B34B"
"consertar-path\showpathlist.bat","970","23/01/2026 17:55:46","0019E0A286E3AA3176FF7DDD44647D1472C257D5A1C53C259EBE515281F0CF27"
"consertar-path\verificarcaminhos.bat","61","23/01/2026 17:54:15","776F218AA6DF5EDA0D11604A97C731E2FF589CE65B2D42312CCEAFE31ACCF909"
"testes\.vscode.txt","38","19/02/2026 15:41:32","ACAD91A7462D8F8102AF2839B123E4424B98BE2030D404671C17F469BCCDCA9F"
"testes\bash.txt","26","19/02/2026 15:41:32","0F6BF87A0EBB9A8A82A10306CF94AF0A5FCBECA0FC637B00A01A75D560DC7E34"
"testes\c++.txt","11170","19/02/2026 15:41:32","F4B96AD4A28A72D1A27328EFAFB24E9668622CBE11C439A6243FF6F09245F96A"
"testes\clojure.txt","40","19/02/2026 15:41:33","4ED5DA5AC4C55950D883531B0A2D8D81E51CF336E14462892ABC35B63E4DA631"
"testes\git.txt","31","19/02/2026 15:41:33","C426567477F0B09E3E929FBF219374BDA13743CA5F73BC9EE3493EF3CF6CF414"
"testes\java.txt","552","19/02/2026 15:41:33","DBC82863A483218F1B02D940E055B4D704648603F377ECF97EE514D0C33466BD"
"testes\javascript.txt","96418","19/02/2026 15:41:36","4ECEF6775B6FDBBDE787B10CA7038FF2F4AF991D194AA3BD5078C2F043B3BE96"
"testes\node_modules.txt","45","19/02/2026 15:41:36","853E7C28EE5ADD93E7915104DBB9539E3523CB30EBE62694C1D61B23970018CA"
"testes\python.txt","263581","19/02/2026 15:41:42","D3E1107CEBB8CB36CF76A9B7377ACD669EF6346720C6CC9C624AEDC4171BB3BD"
"testes\Relational Database Course.txt","158","19/02/2026 15:41:42","79373DF8DC146AC07F8C6820E30D14E5F6FDFAF5FC20D72A269848EDD2C78C2A"
"testes\typescript.txt","453402","19/02/2026 15:41:55","96EAA37F110CFB937AD578E1040B6EF170B75D1430E326F5555745B16B8BDE21"
"testes\Windows.txt","3811","19/02/2026 15:41:55","DC7294F9F3558F8BB44DE53049E3DC13F2884978DD0E96010010946BCDEA2065"
